# Format: variable_name|english_label|description|english_description
# WRF variable information generated from adapter metadata.

Times|Valid time|Valid time of the WRF model output.|Valid time of the WRF model output.
AOD_OUT|Aerosol Optical Depth|WRF model output variable AOD_OUT. Units: unknown. Dimensions: Time, bottom_top, south_north, west_east.|Aerosol Optical Depth
AOD2D_OUT|Aerosol optical depth|Column aerosol optical depth for haze and aerosol loading analysis.|Aerosol optical depth indicating column-integrated aerosol extinction of solar radiation.
ATOP2D_OUT|Aerosol Optical Depth, top|WRF model output variable ATOP2D_OUT. Units: unknown. Dimensions: Time, south_north, west_east.|Aerosol Optical Depth, top
ICN_DIAG|Some chem thing, ICN_DIAG|WRF model output variable ICN_DIAG. Units: unknown. Dimensions: Time, bottom_top, south_north, west_east.|Some chem thing, ICN_DIAG
NC_DIAG|Some chem thing, NC_DIAG|WRF model output variable NC_DIAG. Units: unknown. Dimensions: Time, bottom_top, south_north, west_east.|Some chem thing, NC_DIAG
CLDFRA2|CLOUD FRACTION|WRF model output variable CLDFRA2. Units: -. Dimensions: Time, bottom_top, south_north, west_east.|CLOUD FRACTION
UST_T|Threshold Friction Velocity|WRF model output variable UST_T. Units: m s-1. Dimensions: Time, south_north, west_east.|Threshold Friction Velocity
ROUGH_COR|roughness elements correction|WRF model output variable ROUGH_COR. Units: unknown. Dimensions: Time, south_north, west_east.|roughness elements correction
SMOIS_COR|soil moisture correction|WRF model output variable SMOIS_COR. Units: unknown. Dimensions: Time, south_north, west_east.|soil moisture correction
DRYDEPVEL|dust dry deposition velocity|WRF model output variable DRYDEPVEL. Units: m/s. Dimensions: Time, south_north, west_east.|dust dry deposition velocity
DRY_DEP_LEN|dry deposition velocity|WRF model output variable DRY_DEP_LEN. Units: cm/s. Dimensions: Time, bio_emissions_dimension_stag, south_north, west_east.|dry deposition velocity
EBIO_ISO|Actual biog emiss|WRF model output variable EBIO_ISO. Units: mol km^-2 hr^-1. Dimensions: Time, south_north, west_east.|Actual biog emiss
EBIO_API|Actual biog emiss|WRF model output variable EBIO_API. Units: mol km^-2 hr^-1. Dimensions: Time, south_north, west_east.|Actual biog emiss
LAI_VEGMASK|MODIS LAI vegetation mask for this date; 0=no dust produced (vegetation)|WRF model output variable LAI_VEGMASK. Units: none. Dimensions: Time, south_north, west_east.|MODIS LAI vegetation mask for this date; 0=no dust produced (vegetation)
dvel_o3|O3 deposition velocity|WRF model output variable dvel_o3. Units: cm/s. Dimensions: Time, klevs_for_dvel, south_north, west_east.|O3 deposition velocity
PM2_5_DRY|PM2.5 dry mass concentration|Near-surface fine particulate matter concentration for air-quality analysis.|Dry mass concentration of fine particulate matter with aerodynamic diameter below 2.5 micrometres.
PM10|PM10 mass concentration|Near-surface inhalable particulate matter concentration.|Mass concentration of inhalable particulate matter with aerodynamic diameter below 10 micrometres.
DMS_0|dms oceanic concentrations|WRF model output variable DMS_0. Units: nM/L. Dimensions: Time, south_north, west_east.|dms oceanic concentrations
SNU|2nd moment Aitken mode|WRF model output variable SNU. Units: m2 m-3. Dimensions: Time, bottom_top, south_north, west_east.|2nd moment Aitken mode
SAC|2nd moment Aitken mode|WRF model output variable SAC. Units: m2 m-3. Dimensions: Time, bottom_top, south_north, west_east.|2nd moment Aitken mode
PV|Potential Vorticity|WRF model output variable PV. Units: pvu. Dimensions: Time, bottom_top, south_north, west_east.|Potential Vorticity
GAMN2O5|n2o5 uptake by aerosol|WRF model output variable GAMN2O5. Units: numerical value. Dimensions: Time, bottom_top, south_north, west_east.|n2o5 uptake by aerosol
CN2O5|n2o5 velocity|WRF model output variable CN2O5. Units: m/s. Dimensions: Time, bottom_top, south_north, west_east.|n2o5 velocity
KN2O5|n2o5 het reaction rate|WRF model output variable KN2O5. Units: s-1. Dimensions: Time, bottom_top, south_north, west_east.|n2o5 het reaction rate
YCLNO2|clno2 yield from n2o5 het|WRF model output variable YCLNO2. Units: numerical value. Dimensions: Time, bottom_top, south_north, west_east.|clno2 yield from n2o5 het
XLAT|Latitude|Latitude coordinate of each model grid point.|Latitude coordinate of each model grid point.
XLONG|Longitude|Longitude coordinate of each model grid point.|Longitude coordinate of each model grid point.
LU_INDEX|LAND USE CATEGORY|WRF model output variable LU_INDEX. Units: unknown. Dimensions: Time, south_north, west_east.|LAND USE CATEGORY
ZNU|eta values on half (mass) levels|WRF model output variable ZNU. Units: unknown. Dimensions: Time, bottom_top.|eta values on half (mass) levels
ZNW|eta values on full (w) levels|WRF model output variable ZNW. Units: unknown. Dimensions: Time, bottom_top_stag.|eta values on full (w) levels
ZS|DEPTHS OF CENTERS OF SOIL LAYERS|WRF model output variable ZS. Units: m. Dimensions: Time, soil_layers_stag.|DEPTHS OF CENTERS OF SOIL LAYERS
DZS|THICKNESSES OF SOIL LAYERS|WRF model output variable DZS. Units: m. Dimensions: Time, soil_layers_stag.|THICKNESSES OF SOIL LAYERS
VAR_SSO|variance of subgrid-scale orography|WRF model output variable VAR_SSO. Units: m2. Dimensions: Time, south_north, west_east.|variance of subgrid-scale orography
BATHYMETRY_FLAG|Flag for bathymetry in the global attributes for metgrid data|WRF model output variable BATHYMETRY_FLAG. Units: -. Dimensions: Time.|Flag for bathymetry in the global attributes for metgrid data
U|x-wind component|WRF model output variable U. Units: m s-1. Dimensions: Time, bottom_top, south_north, west_east_stag.|x-wind component
V|y-wind component|WRF model output variable V. Units: m s-1. Dimensions: Time, bottom_top, south_north_stag, west_east.|y-wind component
W|z-wind component|WRF model output variable W. Units: m s-1. Dimensions: Time, bottom_top_stag, south_north, west_east.|z-wind component
PH|perturbation geopotential|WRF model output variable PH. Units: m2 s-2. Dimensions: Time, bottom_top_stag, south_north, west_east.|perturbation geopotential
PHB|base-state geopotential|WRF model output variable PHB. Units: m2 s-2. Dimensions: Time, bottom_top_stag, south_north, west_east.|base-state geopotential
T|perturbation potential temperature theta-t0|WRF model output variable T. Units: K. Dimensions: Time, bottom_top, south_north, west_east.|perturbation potential temperature theta-t0
THM|either 1) pert moist pot temp=(1+Rv/Rd Qv)*(theta)-T0, or 2) pert dry pot temp=t|WRF model output variable THM. Units: K. Dimensions: Time, bottom_top, south_north, west_east.|either 1) pert moist pot temp=(1+Rv/Rd Qv)*(theta)-T0, or 2) pert dry pot temp=t
